Text,Actual Label,Predicted Label,Probability Distribution
image source getty images continue reading roughly 150 million file income tax returns federal government year relish fact youre far away possible tax day traditionally april 15 get however millions americans nearing crunch time though dont data yet 2015 tax year since internal revenue service released tax filing data fact nearly 13 million taxpayers chose file extensions form 4868 2014 2013 tax returns important oct 17 2016 deadline people filed federal tax extensions 2015 tax year rapidly approaching respects filing tax extension makes lot sense example missing inaccurate information simply dont ability file complete tax return ontime turbotax notes completely unusual form 1099 schedule k1 arrive late foul plans file taxes april deadline two reasons people may consider extensions theyll town business vacation major life events get way simply dont time complete federal income tax return april deadline rolls around whatever reason irs allows taxpayers take advantage extensions need apparently quite advertisement inch closer october 2016 tax extension deadline three things millions tax extension filers need know image source getty images one realization may filing tax extension extension doesnt exempt paying federal government believe youll owe people filing tax extension still required pay 90 believe theyll owe april tax day deadline failed pay full amount owed irs april tax deadline youll likely owe penalties interest well failing pay full balance owe result 05 penalty per month maximum penalty works 25 owe additionally interest charged federal shortterm rate plus 3 remaining balance interest rate subject change quarterly basis fail miss october tax extension deadline could really hurting penalty failing file tax return tax extension 10 times much 5 per month simply failing pay 05 per month combined maximum penalty failure pay file could reach high 475 total tax bill 225 late filing 25 late payment long story short prepared open wallet youve filed extension failed pay enough tax back april image source getty images second thing youll want know youve filed tax extension cant afford pay remainder thats owed smartest thing proactive contact irs attempt work installment agreement like lender thats owed money irs would rather work collect balance full penalize try collect means according smartasset opens new window qualifying installment agreement irs fairly straightforward long dont owe 50000 youve remained uptodate tax filing youll probably able work payment plan irs 72month period proactive upfront irs inability pay also ancillary benefit may able get penalties waved furthermore havent recent tax trouble past three years proactively approach irs help may even willing reduce amount owe image source us army finally filed tax extension consider select circumstances could allow postpone tax deadline even example youre military stationed abroad youre combat zone may qualify certain automatic exemptions go well beyond october tax extension deadline typically members armed forces granted extension 180 days last day service combat zone certain cases additional days may tacked period prior tax day military members deployed short extension vary case case members military combat stationed abroad usually viable reason extend tax filing another instance would us citizens living abroad according irs us citizens living abroad also main place business outside us puerto,0,1,[0.409243   0.44380102 0.02058115 0.01513568 0.11123913]
wheels look like theyre coming merger opens new window bass pro shops cabelas nyse cab appears hurdles successfully navigating regulatory landscape hazardous originally believed federal trade commission sought information transaction delaying potential closing deadline regulatory request jeopardized sale cabelas financial arm capital one continue reading still struggling changing retail landscape cabelas agreed last october acquired privatelyheld rival bass pro shops 6550 per share 55 billion including debt decent price outdoors retailer representing 19 premium cabelas closing price sept 30 day acquisition announced also 40 premium closing price dec 1 previous year day cabelas declared exploring strategic alternatives image source cabelas options always included potential sale opens new window company also thought focus selling worlds foremost bank division brought activist investor elliott management taken 11 stake company saying would push management sell everything cabelas share price viewed perspective bass pro offer almost double price stock traded time advertisement didnt seem doubt deal would sail transaction obviously good fit two since retailers target customer even offer fairly similar retail experience would also allow bass pro better compete rivals like dicks sporting goods whose preeminent position bolstered shakeout occurring outdoor recreation space city sports declared bankruptcy eastern mountain sports sport chalet course sports authority despite similarities bass pro cabelas though enough degrees separation allowed deal move forward relative ease cabelas operates 80 stores 36 states mostly west nine locations canada bass pro shops 100 stores mostly midwest east coast moreover cabelas specialty hunting bass pros name implies fishing deal size evenin 76 billion hunting fishing industry invites regulatory scrutiny ftc shown favor toward large mergerseven deal seemed good chance success even brought capital one finance take banking operations cabelas side deal merger capital one agreed pay 200 millionto originate service cabelas cobranded credit card 10 years acquiring credit card operationswhich one countrys biggest issuers volume deal looks like unraveling although ftcs request information death sentence anheuserbusch also got second notice request pursuit sabmiller ultimately approved going complicated may require divestitures delay potential closing date time also capital ones fourth quarter earnings conference call analysts chairman ceo richard fairbank said running get credit card business within next week expect either withdraw bank merger act application application denied occ office comptroller currency bank would normally withdraw application denied capital ones deal tied merger needs get cabelas permission withdraw retailer apparently loathe doand cabelas credit card operation chartered bank merger requires approval comptroller image source cabelas regardless delays capital one wont time refile application currently still operating consent order comptroller due money laundering laws violated years ago checkcashing business operated capital one hasnt updated status application writing seems running could open chance another card issuer step forward bass pro probably manage portfolio inhouse awhile perhaps putting sale later gets nod regulators course bass pro shops hunt cabelas becoming stuck regulatory thicket could ultimately fall apart raising questions whether investors ever see buyout premium hoping 10 stocks like better cabelas investing geniuses david tom gardner stock tip pay listen newsletter run decade motley fool stock advisor tripled market david tom revealed believe 10 best stocks opens new window investors,1,4,[4.7869505e-03 5.3503630e-03 9.8317291e-04 1.1654142e-03 9.8771405e-01]
youve probably heard expression cash cow really mean metaphor comes dairy industry farmer buys cow receives steady supply milk years come business world equivalent company consistently generates solid cash flow stocks strong free cash flow amount cash remaining capital expenditures often make great investment choices theyre likely pay dividends keep dividends coming companies also flexibility reinvesting businesses remain competitive continue reading three top stocks definitely cash cows alphabet160nasdaq goog nasdaq googl apple nasdaq aapl johnson amp johnson160nyse jnj heres make big moola sorry pun hard resist alphabets free cash flow last 12 months totaled almost 28 billion great cash flow helped google report cash cash equivalents marketable securities 924 billion end first quarter alphabet generate enormous cash flow nearly 99 comes google small portion stemming company calls bets include nest home automation verily life sciences division within google advertising revenue search engine youtube social media site account roughly 87 revenue whats particularly great alphabet free cash flow continues grow sooner later company need something big cash stockpile opens new window accumulated likely alphabet make strategic acquisitions buy back shares andor initiate dividend reward investors making alphabet one attractive cash cow stocks market advertisement apple generated free cash flow last 12 months nearly 53 billion thanks strong cash flow apple claims massive cash stockpile totaling 671 billion including cash cash equivalents marketable securities companys cash flow also enables pay dividend current yield 176 apple makes money many popular products services iphone sales generate 63 total revenue could change future though one venture capital firm founder thinks apple could developing augmented reality glasses could even bigger iphone opens new window also apples iphone sales growing singledigit percentages comparison revenue companys secondbiggest moneymaker services includes digital content applecare apple pay licensing jumped 18 year year first quarter 2017160although apples faces risks competition seems likely company remain cash cow years come johnson amp johnsons free cash flow last 12 months topped 16 billion healthcare giant reported cash cash equivalents marketable securities 393 billion end march jampjs dividend one solid healthcare current yield 253 54year streak dividend increases isnt much healthcare jampj doesnt companys top source revenue pharmaceutical business generates around 46 total sales medical devices segment isnt far behind contributing 35 total revenue jampjs consumer business kicks rest companys sales company prioritized acquisitions key way using cash cash flow earlier year jampj acquired abbott medical optics abbott laboratories bolstering medical devices business recently company completed 30 billion acquisition swiss drugmaker actelion although quite questions opens new window price tag paid actelion jampj seems poised stay ranked top cash cow stock 10 stocks like better johnson amp johnsonwhen investing geniuses david tom gardner stock tip pay listen newsletter run decade motley fool stock advisor tripled market david tom revealed believe 10 best stocks opens new window investors buy right johnson amp johnson wasnt one thats right think 10 stocks even better buys click opens new window learn picks stock advisor returns july 6 2017 suzanne frey executive alphabet member motley fools board directors keith speights opens new window owns shares alphabet shares apple motley fool owns shares,4,0,[9.9111325e-01 2.8591026e-03 1.9438468e-03 9.0527930e-04 3.1784899e-03]
bastille day 2017 corresponds actual french revolution much st patricks day corresponds catholicism guy fawkes day blowing british parliament holiday whose foundational ethos bloodshed cruelty radical secularization hatred religion specifically catholicism supplanted occasions national pride military parades baguettes foie gras fromage croissants merlot chants vive la france country throws white flag surrender muslim conquest grown close french heritage much thanks beloved grandparents may god grant peace hailed new caledonia id pulling trompe loeil said didnt feel bit inner le tiers État wanting throw beret pop open kronenbourg slice overpriced brie watch fireworks champsÉlysées every july 14 fate would though reverted catholicism 2014 would become fulcrum based entire worldview french pride would take backseat understanding bastille day represents neither rights man advancement frances freedom would regard set stage europe commit suicide secularism see unfolding today know youre thinking right bourgeoisminded philosophe monarchy sucks let eat cake medieval torture sansculottes covfefe stuff whatever reasons causes led french revolution wont debate rather directing brilliant talk historian michael davies give slightly less slanted picture theyll show bbc besides debating whether anticatholic pogroms promulgation secret police unfortunate occurrences otherwise noble goal deposing french monarchy makes much sense debating lenin stalin unfortunate occurrences overthrowing czar bodies stack families torn souls corrupted allies become enemies nation severs foundational principles envious hatred becomes violent mobs cares question 1789 france needed drastic economic reforms question perfect storm geopolitical conflicts economic bankruptcy aristocratic decadenceand unfortunate weather resulted overthrow king louis xvi say certain also say certain french revolution would mark precursor socialist revolutions twentieth century think french revolution sloppy prequel red terror great leap forward khmer rouge roe v wade violent social political revolutions pushed minority secularlyminded intellectuals immense privilege proclaiming spokesmen masses comfort luxurious lifestyle case french revolution special class course bourgeoisie regular consorting paris salons discussions religious superstition power human reason bourgeoisie limousine liberals day fattened effeminate elitist whose lazy rearend busy penning intellectually insipid scribes like man born free everywhere chains feed 19 bastard children like bernie sanders lecturing rich people shouldnt three houses owns three houses bourgeoisie hypocrites either clue frankly little care consequences advocated overthrow french nobility subjugation christianity confiscation private property sure declaration rights man citizen signed law national convention august 1789 one month storming bastille various enlightenment easter eggs like universal suffrage natural rights sprinkled throughout mere posturing sanitized rhetoric far removed depravity would ensue la resistance crept welsh historian gwynne lewis noted beginning revolution serious contradictions began emerge rhetoric life liberty equality fraternity reality revolution led wealthy propertied elite would explain revolutions figurehead maximilien robespierre revolution lenin bolshevism would leap opposing death penalty advocating wholesale genocideyou could say enlightened reason helped evolve issue people typically think reign terror ushered robespierre jacobin club era grotesque political executions kangaroo courts would sentence crown loyalists traitors death way iconic guillotine crowds paris celebrated yes much september 1792 event known september massacres claimed lives 1200 1400 people less four days revolutionary mobs stormed paris jails murdered men women children hacking pieces bashing skulls killed 233 catholic priests refused oath demanded civil constitution clergy placed church state control spurned,3,4,[0.01267466 0.01851426 0.00276394 0.00417573 0.96187145]
financial world remains glued standoff middle east iran west searching clues airstrike israel even us could plunge region financial markets chaos continue reading chances conflict irans nuclear ambitions end year seem unlikely slew recent developments kept threat war jittery investors radar screens thats good reason addition potentially significant loss life military confrontation would likely profound economic repercussions driving oil prices unthinkable heights sending cash pouring safehaven assets like gold eating alreadysagging global growth prolonged oil shock well definitely see disruption economic recovery said schehrazade rehman professor george washington university predicted us gross domestic product growth second half year could wiped rising risk investors intrade takes bets political outcomes see 30 chance us israeli overt air strike iran end 2012 24 end july advertisement underscoring jitters brent crude oil sensitive light sweet crude rallied six past seven sessions settling threemonth high 11360 monday market watchers pointed cluster new stories including stratfor report indicating buildup us aircraft carriers near iran israel testing texting system would warn civilians missile attacks israels central bank admitting preparing major crisis security situation israel handing new powers prime minister benjamin netanyahu could help evade internal opposition strike commodities analysts barclays nysebcs noted discernible increase international tension regarding irans foreign relations nuclear program moving spotlight kneejerk oil spike obvious place conflict iran would felt would jittery oil markets especially due irans threats close strait hormuz 40 worlds supplies transit daily one say sure sharply oil prices would climb conservative end darin newsom telvent dtn predicted kneejerk spike would certainly lead test brents 2012 high 12830 would reflect painful relatively modest 13 jump brent prices hand george friedman privateintelligence site stratfor told barrons february oil prices could skyrocket 300 barrel impact would financial markets would absolutely enormous said peter zeihan vice president analysis stratfor zeihan pointed estimated 75 crude oil contracts traded skittish investment professionals affiliated energy industry energy ripple effects massive jump oil prices would almost immediately hit consumer spending still accounts around twothirds us gdp160soaring gas prices would eat discretionary spending threatening anemic economic recovery however extent economic damage would likely depend long oilprice shock lingered oil prices soared iraq invaded kuwait august 1990 plummeted 362 1925 single day january 1991 largest percentage decline history shortlived gulf war began would see prices go roof first 24 hours said zeihan would probably tank fast went stocks slump safe havens rally easy see equity markets would likely retreat event military clash iran responding higher energy prices chances recession increased geopolitical uncertainty particular markets would probably punish stocks sensitive oil prices like airline shipping companies well affected sectors like insurers luxury goods makers relative winners could include defense contractors lockheed martin nyselmt conflict like stock market takes little bit hit depending long conflict lasts good news stock market understands military action temporary tends correct end sight said rehman paraphrasing belief expressed investor paul dietrich investors long gold would likely see healthy returns cash flees risky assets like stocks favor safe havens gold settled 160960 monday 28 far year still 15 away alltime high 188870 set august 2011 safe havens would also probably,4,3,[0.01725146 0.0883658  0.00842562 0.86191326 0.02404373]
one american city multipronged crisis according chicago tribune countrys ten largest cities chicago metropolitan statistical area one drop population 2015 2016 2016 staggering 19570 people left chicago areaalmost double number left 2015 first year since 1990 city surrounding metropolitan area didnt gain residents past year tribune surveyed dozens former residents whove packed recent years cited variety reasons high taxes state budget stalemate crime unemployment rate weather chicago tribune cites resident named patrice bedford citys expensive said public schools face unfolding financial crisis violence terrifying frightening parenttobe didnt take long bedford 28 realize time pack leave roscoe village home bedford moving denver colorado one change weather budget fights mainstays numerous states three factors critical determining americans fleeing chicago 1 taxes wallethub recently crunched numbers find states worst tax burden illinois came top website calculated relative incometax obligations applying effective incometax rates state locality average americans income illinois highest effective total state local tax rates median us households 1476 approximately 8011 annually costofliving included illinois jumps 51 43still pretty bad 2 unemployment according january 2017 report form bureau labor statistics bls 51 largest metropolitan areas chicago ranks 47th unemployment rate 6 6 may seem like high number metropolitan areas salt lake city denver austin sit 3 31 35 unemployment respectively difficult economic times three percentage points could difference steady job continuous unemployment 3 crime murder rate chicago astronomical 2014 2015 murders chicago rose approximately 17 jumping 423 496 according cnn however leap 2015 2016 truly shocking 2016 762 murders chicago yeartoyear increase 536 reason according heather mac donald manhattan institute precipitous drop proactive policing mac donald author war cops spoke daily wire chicagos increase violence officers backing proactive policing pedestrian stops dropped 82 last year criminals become emboldened began 2015 generalwhat ive called ferguson effect officers response calumnies black lives matter movement says proactive policing racist officers encountering huge hostility streets last june chicago officer told hes never encountered much hatred 19 years job said basically become undoable job officers get cars make pedestrian stop often find surrounded hostile jeering crowds throwing things interfering arrest mac donald noted increase crime well retreat proactive policing made worse late2015 due several separate incidents noticeable already 2015 meeting attorney general loretta lynch called washington october 2015 big city police chiefs mayors discuss rising crime chicago mayor rahm emanuel told loretta lynch chicago cops gone fetal longer willing try interdict criminal behavior release laquon mcdonald video november 2015 definitely set department back former superintendent garry mccarthy foolishly agreed settlement aclu chicago polices stop policies aclu illinois written completely specious report stops pointed 74 stops police made chicago black subjects however type analysis completely illegitimate ignores crime rates mccarthy agreed stop agreement created new form officers fill following pedestrian stop three pages long three narrative sections discouraged type proactive policing beyond type ideological attack black lives matter movement done additional nail coffin unemployment rate mixed bag terms blame cause effect egregiously high taxes well rise crime directly attributed progressive policies ideals progressives strive perverse utopianism government parent people children means achieve utopian goals forcibly remove money taxpayers utopia ultimately,1,3,[0.00367061 0.14257772 0.00227418 0.7993948  0.05208272]
many media condemning rep michele bachmann rmn four congressmen sent letter state department deputy inspector general igs four agencies calling investigations possible infiltration muslim brotherhood mb state department agencies whats gotten attention fact letter state department singled huma abedin state departments deputy chief staff close aide secretary state hillary clinton going way back time first lady clinton administration abedin also wife disgraced former congressman new york anthony weiner caused quite ruckus charges mccarthyism hurled rep bachmann split among republicans including senators john mccain lindsey graham plus speaker house john boehner sharply criticized bachmann letters others sent left field day conservatives republicans scrambling contain issue bigger picture care indeed muslim brotherhood gained foothold throughout middle east wield significant influence within obama administration make us islamophobic shouldnt get lost policies obama administration helped facilitate ascendency muslim brotherhood particularly egypt investors business daily made abundantly clear exactly taken place editorial titled obama engineered mideast radicalization lay following timeline 2009 brotherhoods spiritual leader sheikh yusuf qaradawi writes open letter obama arguing terrorism direct response us foreign policy 2009 obama travels cairo deliver apologetic speech muslims infuriates mubarak regime inviting banned brotherhood leaders attend obama deliberately snubs mubarak neither present mentioned also snubs israel mideast trip 2009 obama appoints brotherhoodtied islamist rashad hussain us envoy organization islamic conference supports brotherhood 2010 state department lifts visa ban tariq ramadan suspected terrorist egyptianborn grandson brotherhood founder hassan albanna 2010 hussain meets ramadan americansponsored conference attended us brotherhood officials 2010 hussain meets brotherhoods grand mufti egypt 2010 obama meets oneonone egypts foreign minister ahmed aboul gheit later remarks nile tv american president told confidence muslim 2010 brotherhoods supreme guide calls jihad us 2011 qaradawi calls days rage mubarak prowestern regimes throughout mideast 2011 riots erupt cairos tahrir square crowds organized brotherhood demand mubaraks ouster storm buildings 2011 white house fails back longtime ally mubarak flees cairo 2011 white house sends intelligence czar james clapper capitol hill whitewash brotherhoods extremism clapper testifies group moderate largely secular 2011 qaradawi exiled egypt 30 years given heros welcome tahrir square raises banner jihad 2011 state department office william taylor clintons special coordinator middle east transitions longtime associate brotherhood apologists gives brotherhood egyptian islamists special training prepare postmubarak elections 2011 brotherhood wins control egyptian parliament vows tear egypts 30year peace treaty israel reestablishes ties hamas hezbollah 2011 obama gives mideast speech demanding israel relinquish land palestinians still refusing visit israel 2011 justice department pulls plug prosecution usbased brotherhood front groups identified collaborators conspiracy funnel millions hamas 2011 shocking first state department formalizes ties egypts brotherhood letting diplomats deal directly brotherhood party officials cairo april 2012 administration quietly releases 15 billion foreign aid new egyptian regime june 2012 morsi wins presidency amid widespread reports electoral fraud voter intimidation guntoting brotherhood thugs including blockades entire streets prevent christians going polls obama administration turns blind eye recognizes morsi victor june 2012 victory speech morsi vows instate shariah law turning egypt islamic theocracy also promises free jailed terrorists also demands obama free world trade center terrorist brotherhood leader omar abdelrahman aka blind sheik us prison june 2012 state grants,0,1,[0.01826199 0.93245596 0.01212766 0.01093699 0.02621745]
image source getty continue reading every day brickandmortar retailer announces drop earnings revenues gives questionable guidance details large wave store closures rewarded share price pop 17 yet exactly privy department store operator macys nyse reported secondquarter results august 11 2016 image source derek jensen via wikimedia commons opens new window make mistake ordinary scheduled earnings release management host usual conference call file 8k investors provided second press release titled macys inc outlines moves drive profitable growth enhance shareholder value around investing block know anytime management speaks plans enhance shareholder value plotting shutter 16 companys fullline locations highly likely theres trouble brewing behind scenes advertisement fortunately macys shareholders thats case ive detailed past opens new window macys uniquely positioned profitably adapt world ecommerce physical store locations work hand handmake mistake ordinary situation ordinary retailer announcement close 100 locations matter painful many lives affected absolutely right decision heres macys secondquarter earnings opens new window eyes anyone wall street analysts macys management nothing brag bottom line may beaten analyst estimates management may well encouraged distinct improvement sales earnings trend second quarter views ignore simple truth sales profits fell year year total sales slipped 5866 billion modest 38 q2 fy 2016 nongaap earnings per share fell 163 year year 054 including costs associated soontobeimplemented store closures eps came 003 management putting good face spite strong headwinds entirely unexpected corporate america whats far interesting unique plan set macys future success leads us macys second press release opens new window day management broadcasted two classes information plans future thinking led decisions order succeed increasingly competitive retail landscape one plagued competition everywhere macys intends see retailer arguably envy peers still solidly profitable making bold moves like everyday occurrence interesting managerial thinking led store closures current chairman ceo jeff gennette stated jeff gennette current president macys decided heir ceo terry j lundgren noted release opens new window thats right folks stores likely shuttered currently cashflow positive management going allin offering shoppers comprehensive 21stcentury experience give credit one surveys current status peers likesears holdingsandjc penney one cant help think exactly retailer 2016 perhaps 10 years ago farsighted one also realizes sears probably wishes luxury able shutter cashflow positive locations cautionary tales aside macys seen noticeable shift business last five years trends coupled rise online success well meteoric rise websites like amazoncom nasdaq amzn cater consumers every whim made bold action necessary data source macys fy 2013 opens new window 2015 opens new window annual reports includes nonfull line stores truth matter major step put action macys works years buzzword omnichannel rolled managements tongues conference calls sec filings every year recent memory macys built massive stateoftheart distribution facilities opens new window order effectively compete amazoncoms inroads selling clothing macys even described omnichannel retail organization operating stores websites mobile applications three brands macys bloomingdales bluemercury latest annual report opens new window current shareholders thanking lucky stars company whose management adapting world rather would like sidelines right addition said article also noted macys currently trades 126 times low end reiterated normalized earnings year obviously making strong go adapting world shoppers dont need go mall,1,2,[0.00446859 0.01063939 0.96802026 0.00182676 0.01504503]
sit back let money roll continue reading thats stocks pay great dividends allow investors three big pharma stocks boast especially attractive dividends abbvie nyse abbv pfizer nyse pfe novo nordisk nyse nvothese drugmakers reward investors solid share appreciation long run well heres abbvie pfizer novo nordisk rank among top dividend stocks pay wait earnings grow image source getty images advertisement abbvie claims exceptionally strong dividend yield 412 companys dividend grown whopping 60 since abbvie spun parent abbott laboratoriesin 2013 count period abbvie still abbotts wing company hiked dividend 44 consecutive years shouldnt problems abbvie keeping streak going company currently uses less 63 earnings fund dividend payments earnings also expected grow 14 annually average next several years abbvies current products generate much anticipated earnings growth topselling autoimmune disease drug humira continues chug along generating 16 billion 2016 yearoveryear increase nearly 15 cancer drug imbruvica made 18 billion last year abbvie projects peak annual sales imbruvica reach 5 billion 2020 several candidates abbvies pipeline could also help fund future dividend payments cancer drug rovat autoimmune disease drug risankizumab andleukemia drug venclexta potential generate billions dollars annual revenue pfizer isnt far behind abbvie big drugmakers dividend yield currently stands 374 pfizers management clearly expressed commitment paying dividends cfo frank damelio recently stating dividend important part investing thesis first glance might think pfizers dividend could trouble company currently spends dividend payments making earnings dont worry though pfizers cash flow strong enough easily continue funding dividend companys earnings also poised grow solid pace ibrance key driving earnings higher cancer drug generated 21 billion revenue last year analysts think ibrance could reach peak annual sales 3 billion 5 billion pfizers acquisition strategy also pay two big buyouts last year medivation anacor allowed pfizer pick prostate cancer drug xtandi eczema drug eucrisa acquired drugs could bring annual revenue 2 billion novo nordisks dividend yield 314 also looks quite attractive denmarkbased drugmaker uses 63 earnings fund dividend program future dividend hikes seem likely like abbvie pfizer novo nordisk expect earnings increase solidly coming years company already leadership role diabetes franchise market share 27 overall diabetes care market position good shape products astresiba xultophy insulin products could reach peak annual sales 3 billion novo nordisk also looking become leader new therapeutic categories company awaits regulatory approval hemophilia drug n9gp another pipeline candidate treating hemophilia n8gp currently latestage clinical testing addition novo nordisks obesity drug saxenda fda approval late 2014 drugmaker also evaluating semaglutide weight management obese patients midstage clinical study another target area growth growth growth disorders novo nordisks norditropin growth hormone treatment market several yearsand company latestage study progress experimental longacting human growth hormone somapacitan top big pharma dividend stocks best pick abbvie long abbvie avoid significant competition humira everything go well stock dividend company thinks hold biosimilar rivals years using legal system meantime abbvie pay investors nicely wait newer products lessen dependence humira sit back let dividends roll 16122 social security bonus retirees completely overlook youre like americans youre years behind retirement savings handful littleknown social security secrets could help ensure boost retirement income example one easy trick could,1,4,[0.00932528 0.40710175 0.00615796 0.00247394 0.57494104]
theres frequently cited pwc report says 38 us jobs risk overtaken artificially intelligent automation 2030160similarly scientific american article opens new window160warned earlier year 40 top 500 companies vanish within decade fall victim artificial intelligence ai lets honest predictions pretty easy dismiss opens new window right average person take look around ask scary ai worlds leading ai companies 160alphabets nasdaq goog nasdaq googl google chipmaker nvidia corporation nasdaq nvda amazoncom nasdaq amzn arent showing tv ads buying new ai bots yet worry continue reading ai already starting take subtle ways theres plenty evidence ai becomes bigger part companies itll eventually become bigger part world functions dont want creep smartphone youve likely talked artificial intelligence specifically youve asked siri question talked google assistant searched photo google photos uploaded photo facebook let automatically tag friends youve used form ai google probably one wellknown ai companies right ai company deepmind bested worlds top players opens new window ancient game go google also using ai less public ways well company added machine learning opens new window algorithms core apps like search photos made machine learning tool tensorflow available free developers create aidriven apps course amazon using ai plain sight well popular echo devices companys lineup smart speakers opens new window inhome devices companys artificially intelligent assistant alexa amazon also using machine learning algorithms serve relevant content youre searching items opens new window ecommerce platform advertisement additionally companys amazon web services aws amazons biggest business operating income ai tools developers help create ai apps like google examples ai software tools working background commonly used tech already hardware thats designed specifically ai use pervasive well google said last year creating tensor processing unit tpu specifically running ai nvidia tweaking graphics processing units gpus creating new processors used advanced ai servers run microsoft amazon others nvidias gpus integral part companys aipowered autonomous driving systems latest drive px pegasus opens new window well companys powerful dgx1 server used deep learning research analytics nvidias lead ai hardware space helped company carve artificial intelligence niche could give company total addressable market ai 30 billion next eight years ok plenty examples ai around us exactly tech go answering basic questions stealing away jobs answer ai becoming faster smarter exponential rate example nvidia released secondgeneration drive px 2 semiautonmous driving computer 2016 new pegasus version debuted last month already 13 times faster less two years later course rate acceleration doesnt apply autonomous vehicle technology recent mother jones article opens new window says ai onetenth human brain capabilities 2035 artificial intelligence surpass human intelligence 2060 surgeons novelists construction workers police officers forth jobs could fully automated 2040s 2060 ai capable performing task currently done humans author writes timetable proves true means predictions like ones research firm gartner become likely well predictions course one crystal ball predict transitions occur clear tech companies already investing heavily ai tech commonly used average technology users ai uses accelerating quickly investors would mistaken think far technology trend start buying google nvidia amazon plenty others already betting ai opens new window time passes artificial intelligence likely start upending industries kaifu lee the160founder,0,1,[0.01653215 0.94402194 0.00491394 0.00272671 0.03180537]
